-0.000122295,-3.87492e-07,-0.000503472,-4.43761e-07
0.000430382,9.94225e-08,-0.000428981,-9.94084e-08
0.00203108,4.20053e-07,0.0011342,2.26541e-07
-0.00315164,-6.82279e-07,0.00314142,6.8297e-07
-0.00198407,-2.2996e-06,-0.0019914,-2.30129e-06
0.00149895,2.29196e-07,-0.00149427,-2.31267e-07
0.0120137,2.85735e-06,0.00218572,9.2179e-07
0.0227456,6.47433e-06,0.00430339,1.65892e-06
-0.0035717,-0.000576956,-0.00115415,-8.53465e-07
-0.0221092,-6.48419e-06,-0.00433658,-1.80991e-06
0.00218572,9.23303e-07,0.012036,2.8639e-06
-0.00430381,-1.66211e-06,-0.0227897,-6.48744e-06
-0.00115221,-8.53441e-07,-0.00357988,-0.000576958
0.0043361,1.81276e-06,0.0221515,6.49672e-06
-0.0611474,-0.000193746,-0.251736,-0.00022188
0.215191,4.97113e-05,-0.21449,-4.97042e-05
1.01554,0.000210029,0.567099,0.000113271
-1.60738,-0.000345898,1.60218,0.000346297
-0.992033,-0.0011498,-0.9957,-0.00115064
0.680576,9.97202e-05,-0.67844,-0.00010072
6.00684,0.00142867,1.09286,0.000460894
11.3728,0.00323717,2.1517,0.000829466
-1.78585,-0.288478,-0.577076,-0.000426732
-11.0546,-0.00324209,-2.16829,-0.000904954
1.09286,0.000461647,6.01802,0.00143195
-2.15191,-0.000831058,-11.3948,-0.00324372
-0.576107,-0.00042672,-1.78994,-0.288479
2.16805,0.000906375,11.0757,0.00324836
