0.000760867,-1.76339e-07,2.15729e-05,-3.22104e-07
0.000613968,1.43491e-07,-0.000611246,-1.43249e-07
0.00203879,6.11733e-07,0.00127117,4.28491e-07
-0.00287764,-6.80376e-07,0.00286515,6.79359e-07
-0.00317997,-2.65352e-06,-0.00318943,-2.65578e-06
0.00249994,4.85973e-07,-0.00248838,-4.85913e-07
0.0130721,3.19855e-06,0.0026706,1.14228e-06
0.0241265,6.62313e-06,0.00457115,1.61851e-06
-0.00399819,-0.000577001,-0.00142968,-8.79723e-07
-0.0228492,-6.14868e-06,-0.00409097,-1.30251e-06
0.0026706,1.14378e-06,0.0130811,3.20291e-06
-0.00457402,-1.62223e-06,-0.0241453,-6.63203e-06
-0.00142782,-8.7972e-07,-0.00400361,-0.000577003
0.00409465,1.30637e-06,0.0228664,6.15703e-06
0.380433,-8.81695e-05,0.0107864,-0.000161052
0.306984,7.17455e-05,-0.305623,-7.16244e-05
1.0194,0.000305871,0.635587,0.000214259
-1.37483,-0.000327739,1.36875,0.000327124
-1.58997,-0.00132676,-1.59473,-0.00132789
1.3212,0.000259841,-1.31522,-0.000259874
6.53607,0.00159928,1.3353,0.000571141
12.0633,0.00331156,2.28558,0.000809251
-1.9991,-0.2885,-0.714839,-0.000439861
-11.4246,-0.00307434,-2.04548,-0.000651255
1.3353,0.000571887,6.54056,0.00160146
-2.28701,-0.00081112,-12.0726,-0.00331601
-0.713908,-0.000439861,-2.00181,-0.288501
2.04732,0.000653188,11.4332,0.00307852
