1,-8.13152e-13,1.30104e-12,4.6608e-09,0.00514089,-2.03743e-06,-0.0159713,0.0148543,1.47777e-10,0.0101295,0.0129669,5.44279e-05,-9.05038e-11,-0.00414042,0.002,0,0,-7.3857e-06,-2.58641e-07,-9.13896e-06,-0.000152849,6.36033e-05,-1.0842e-13,1.32241e-05,8.90841e-05,2.31848e-05,8.40257e-13,-6.78169e-06
2.71262e-13,1,-4.60574e-13,-0.00514089,9.78874e-12,0.000413473,-0.0146057,0.00224142,-1.4871e-10,0.0021951,0.0145687,0.00217937,2.01507e-10,0.00211881,0,0.002,0,7.75096e-06,-1.21661e-08,9.59093e-06,-0.000103846,3.15289e-06,-3.23355e-13,2.20183e-06,0.000103528,2.81232e-06,-2.69356e-13,1.78447e-06
0,0,1,2.04914e-06,-0.000413469,6.77236e-09,-0.0619853,0.0133207,-5.55112e-11,0.00923276,-0.0343256,-0.00694722,1.66533e-10,-0.00463897,0,0,0.002,4.45544e-06,5.6366e-07,5.51309e-06,-0.000448237,4.0859e-05,0,6.41337e-06,-0.000244471,-1.85081e-05,0,-9.65783e-07
2.04247e-11,1.1253e-11,3.53517e-12,0.999858,8.42689e-06,0.0168652,0.0982152,-0.0219839,6.11898e-10,-0.0158615,-0.0979744,-0.0216192,-9.99828e-10,-0.015414,7.76396e-13,7.76396e-13,7.76396e-13,0.00196763,7.95717e-08,-2.30714e-05,0.000722073,-7.43266e-05,4.62069e-12,-1.62799e-05,-0.000720093,-7.22796e-05,3.15076e-12,-1.38201e-05
0,0,0,-8.18951e-06,1,-1.27174e-05,0.154497,-0.0420888,-1.37824e-10,0.00976281,0.154768,0.0419256,-1.4649e-10,-0.00996334,0,0,0,-2.41613e-08,0.00198302,-3.23987e-08,0.00118365,-0.000370846,0,3.81253e-05,0.00118583,0.000369663,0,-3.96647e-05
0,0,0,-0.0168652,1.25985e-05,0.999858,-0.104177,0.0535548,1.04694e-09,0.0216458,0.104037,0.0533805,-4.92363e-10,0.0214524,0,0,0,-6.93863e-05,-1.69269e-08,0.00193492,-0.000870076,0.000311132,0,2.37199e-05,0.00086876,0.000310045,0,2.26235e-05
3.81639e-11,6.93889e-12,-3.46945e-12,3.60961e-08,-1.63064e-10,3.25122e-08,0.466301,0.205676,-1.04083e-11,0.0933477,-0.08471,-0.0210837,2.84495e-10,-0.00598626,0,0,0,5.53002e-06,1.38291e-05,6.84275e-06,-0.00200092,0.00100111,-3.46945e-12,0.000143217,-0.000626256,-0.000113401,0,5.99651e-06
3.46945e-12,1.04083e-11,-1.04083e-11,1.04448e-07,2.42861e-11,9.4591e-08,-0.561119,1.07685,-4.85723e-11,0.0753548,-0.154313,-0.0369922,6.07153e-10,-0.0127154,0,0,0,1.48789e-05,-1.16871e-06,1.84109e-05,-0.00395852,0.00201087,-6.93889e-12,9.37409e-05,-0.00113235,-0.00018324,6.93889e-12,8.03616e-06
3.46945e-12,-2.1684e-12,1.30104e-12,-1.25269e-08,-3.46945e-11,-1.13811e-08,0.0510976,0.0243634,1,0.00779604,0.0630213,0.0162444,-1.17094e-10,-0.000908524,0,0,0,-2.63049e-06,-5.55422e-07,-3.25492e-06,0.000320558,0.000173976,0.002,2.46057e-05,0.000475229,0.000123448,4.33681e-13,-1.17141e-05
-1.04083e-11,-1.38778e-11,3.46945e-12,-5.10182e-08,-6.93889e-11,-4.62685e-08,0.546458,-0.305421,4.85723e-11,0.693447,0.151073,0.0362576,-5.86337e-10,0.012077,0,0,0,-1.44456e-05,3.9047e-05,-1.78748e-05,0.00384275,-0.00186664,3.46945e-12,1.40173e-07,0.00110923,0.000182126,-3.46945e-12,-8.37256e-06
1.73472e-11,3.46945e-12,3.46945e-12,-1.63862e-08,-4.85723e-11,-1.49186e-08,-0.0847769,0.0213209,1.45717e-10,0.00619652,0.465829,-0.204603,1.00614e-10,-0.0921357,0,0,0,-5.50763e-06,1.4027e-05,-6.81509e-06,-0.000627022,0.000115254,-6.93889e-12,-4.4422e-06,-0.00200294,-0.000992645,-3.46945e-12,-0.000134366
0,-1.73472e-11,-3.46945e-12,4.70006e-08,4.51028e-11,4.25979e-08,0.15447,-0.0374558,-3.57353e-10,-0.0131217,0.562002,1.07463,-1.8735e-10,0.0728936,0,0,0,1.4826e-05,7.95645e-07,1.83455e-05,0.00113408,-0.000186875,3.46945e-12,5.03197e-06,0.00396221,0.00199447,-3.46945e-12,7.68069e-05
-8.67362e-12,-3.03577e-12,4.77049e-12,1.52591e-08,1.38778e-11,1.38552e-08,0.0629704,-0.0163538,-1.0842e-10,0.000797179,0.0512893,-0.02473,1,-0.00820317,0,0,0,2.61261e-06,-6.04624e-07,3.23281e-06,0.000474885,-0.00012428,0,1.08746e-05,0.000321643,-0.000176538,0.002,-2.73086e-05
6.93889e-12,2.77556e-11,-3.46945e-12,-2.02754e-08,-1.38778e-11,-1.84158e-08,-0.151212,0.0367049,3.43475e-10,0.0124711,-0.547269,-0.30323,1.80411e-10,0.69587,0,0,0,-1.43933e-05,-3.86836e-05,-1.78101e-05,-0.00111081,0.000185635,0,-5.45311e-06,-0.00384602,-0.00185048,3.46945e-12,1.67488e-05
7.35523e-10,-4.02456e-10,6.52256e-10,2.33039e-06,2.57045,-0.00101871,-7.98564,7.42714,7.38853e-08,5.06474,6.48345,0.0272139,-4.52555e-08,-2.07021,1,0,0,-0.00369285,-0.00012932,-0.00456948,-0.0764244,0.0318016,-5.55112e-11,0.00661207,0.044542,0.0115924,4.16334e-10,-0.00339085
1.35634e-10,8.11525e-10,-2.30285e-10,-2.57044,4.89431e-09,0.206736,-7.30286,1.12071,-7.4355e-08,1.09755,7.28437,1.08969,1.00753e-07,1.05941,0,1,0,0.00387548,-6.08304e-06,0.00479546,-0.0519231,0.00157644,-1.61655e-10,0.00110091,0.0517638,0.00140616,-1.34766e-10,0.000892235
4.44089e-10,1.77636e-09,-6.66134e-10,0.00102454,-0.206734,3.36975e-06,-30.9927,6.66035,-3.68594e-08,4.61638,-17.1628,-3.47361,7.9492e-08,-2.31948,0,0,1,0.00222773,0.000281819,0.00275656,-0.224119,0.0204295,-4.44089e-10,0.00320668,-0.122235,-0.00925404,2.22045e-10,-0.00048289
